id_spatial,community_board,borough,name,overall_pop,race_white,race_black,race_asian,race_latino,race_other,age0to17,age18to24,age25to44,age45to64,age65plus,on_time_hs_grad,not_complete_hs,hs_some_college,college_higher,poverty,rent_burden,obesity,hypertension,life_expectancy,self_rep_health,boro,garden_name,address,size,latitude,longitude,avg_org_value,avg_rev_value,avg_tot_appropriated
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,Secret Garden,293-297 East 4th Street,0.05,40.722464,-73.980569,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,Suffolk Street Community Garden,174 Suffolk Street,0.053,40.720933,-73.985083,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,Toyota Childrens Learning Garden (Coradan Evaeden),603 East 11th Street,0.037,40.727311,-73.979074,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,Vamos Sembrar: For the Beloved and Otherwise Forgotten,198 Avenue B,0.023,40.728258,-73.978901,10921482.321637427,10924907.415204678,NA
104,M04,Manhattan,Clinton and Chelsea,122119,59,6,14,18,3,9,8,45,26,13,81,6,17,78,11,41,10,18,83.1,86,M,Clinton Community Garden,436 West 48th Street,0.35,40.762717,-73.991026,2546139.053617021,3097573.049361702,297500
104,M04,Manhattan,Clinton and Chelsea,122119,59,6,14,18,3,9,8,45,26,13,81,6,17,78,11,41,10,18,83.1,86,M,High School For Environmental Studies,444 W 56th Street NY NY 10019,NA,40.767791,-73.987531,2546139.053617021,3097573.049361702,297500
104,M04,Manhattan,Clinton and Chelsea,122119,59,6,14,18,3,9,8,45,26,13,81,6,17,78,11,41,10,18,83.1,86,M,Oasis Community Garden (Hellâs Kitchen),511-519 W. 52nd Street,0.115,40.766411,-73.991989,2546139.053617021,3097573.049361702,297500
104,M04,Manhattan,Clinton and Chelsea,122119,59,6,14,18,3,9,8,45,26,13,81,6,17,78,11,41,10,18,83.1,86,M,P.S. 11,320 West 21st Street  NY NY 10011,NA,40.744349,-74.000253,2546139.053617021,3097573.049361702,297500
104,M04,Manhattan,Clinton and Chelsea,122119,59,6,14,18,3,9,8,45,26,13,81,6,17,78,11,41,10,18,83.1,86,M,P.S. 111,440 W. 53rd Street,NA,40.765878,-73.988823,2546139.053617021,3097573.049361702,297500
104,M04,Manhattan,Clinton and Chelsea,122119,59,6,14,18,3,9,8,45,26,13,81,6,17,78,11,41,10,18,83.1,86,M,P.S. 51,520 West 45th Street  NY  NY 10036,NA,40.762061,-73.995307,2546139.053617021,3097573.049361702,297500
105,M05,Manhattan,Midtown,53120,67,4,19,8,2,7,12,45,22,13,92,6,17,78,11,41,10,18,84.8,86,NA,NA,NA,NA,NA,NA,8641612.950969214,8634972.21949829,NA
106,M06,Manhattan,Stuyvesant Town and Turtle Bay,144591,71,3,16,8,2,8,11,41,23,18,91,3,15,82,10,42,13,22,85.9,90,NA,NA,NA,NA,NA,NA,5334304.337926902,5364620.03055722,NA
107,M07,Manhattan,Upper West Side,214744,66,7,9,15,2,15,5,34,27,18,83,6,16,78,9,40,10,21,84.7,93,M,Frederick Douglass Academy HS,2599 Adam Clayton Powell Jr Boulevard,0.197,NA,NA,2592841.5122807017,2611023.3614035086,314375
107,M07,Manhattan,Upper West Side,214744,66,7,9,15,2,15,5,34,27,18,83,6,16,78,9,40,10,21,84.7,93,M,La Perla Garden,76 W. 105th Street,0.036,40.798286,-73.962719,2592841.5122807017,2611023.3614035086,314375
107,M07,Manhattan,Upper West Side,214744,66,7,9,15,2,15,5,34,27,18,83,6,16,78,9,40,10,21,84.7,93,M,Mobilization For Change Community Garden,955 Columbus Avenue,0.043,40.799757,-73.962476,2592841.5122807017,2611023.3614035086,314375
107,M07,Manhattan,Upper West Side,214744,66,7,9,15,2,15,5,34,27,18,83,6,16,78,9,40,10,21,84.7,93,M,West 104th Street Garden,6-10 W. 104th Street/ 14-18 W. 104th Street,0.38,NA,NA,2592841.5122807017,2611023.3614035086,314375
107,M07,Manhattan,Upper West Side,214744,66,7,9,15,2,15,5,34,27,18,83,6,16,78,9,40,10,21,84.7,93,M,West 87th Street Park & Garden,55-57 West 87th Street,0.09,40.786617,-73.970356,2592841.5122807017,2611023.3614035086,314375
108,M08,Manhattan,Upper East Side,225914,78,3,10,7,2,14,5,37,24,20,91,3,14,83,7,41,11,15,85.9,89,M,Life Sciences High School,320 96th Street NY NY 10128,NA,NA,NA,3081325.7633949737,3067887.79943101,372727.2727272727
109,M09,Manhattan,Morningside Heights and Hamilton Heights,111287,22,24,7,44,3,17,16,34,21,12,65,21,30,49,24,51,21,29,81.4,83,M,Edgecomb Avenue Garden Park Sanctuary,339-341 Edgecomb Avenue,0.112,40.826462,-73.941811,12759603.857142856,12786290.057142857,265000
109,M09,Manhattan,Morningside Heights and Hamilton Heights,111287,22,24,7,44,3,17,16,34,21,12,65,21,30,49,24,51,21,29,81.4,83,M,Frank White Memorial Garden,506-508 West 143rd Street,0.09,40.824306,-73.949441,12759603.857142856,12786290.057142857,265000
109,M09,Manhattan,Morningside Heights and Hamilton Heights,111287,22,24,7,44,3,17,16,34,21,12,65,21,30,49,24,51,21,29,81.4,83,M,Friendship Garden (Lucille McClarey Garden),499 West 150th Street,0.038,40.828638,-73.945842,12759603.857142856,12786290.057142857,265000
109,M09,Manhattan,Morningside Heights and Hamilton Heights,111287,22,24,7,44,3,17,16,34,21,12,65,21,30,49,24,51,21,29,81.4,83,M,Garden People,West 91st and Riverside Drive,NA,NA,NA,12759603.857142856,12786290.057142857,265000
109,M09,Manhattan,Morningside Heights and Hamilton Heights,111287,22,24,7,44,3,17,16,34,21,12,65,21,30,49,24,51,21,29,81.4,83,M,Hope Steven Garden,1656 Amsterdam Avenue,0.062,40.823414,-73.94895,12759603.857142856,12786290.057142857,265000
109,M09,Manhattan,Morningside Heights and Hamilton Heights,111287,22,24,7,44,3,17,16,34,21,12,65,21,30,49,24,51,21,29,81.4,83,M,Maggies Garden,564 West 149th Street,0.075,40.828472,-73.947418,12759603.857142856,12786290.057142857,265000
109,M09,Manhattan,Morningside Heights and Hamilton Heights,111287,22,24,7,44,3,17,16,34,21,12,65,21,30,49,24,51,21,29,81.4,83,M,Mo Pals,545 West 147th Street,0.039,40.827075,-73.947928,12759603.857142856,12786290.057142857,265000
109,M09,Manhattan,Morningside Heights and Hamilton Heights,111287,22,24,7,44,3,17,16,34,21,12,65,21,30,49,24,51,21,29,81.4,83,M,Senior Citizens Sculpture Garden Park,West 153rd Street,0.406,NA,NA,12759603.857142856,12786290.057142857,265000
109,M09,Manhattan,Morningside Heights and Hamilton Heights,111287,22,24,7,44,3,17,16,34,21,12,65,21,30,49,24,51,21,29,81.4,83,M,Riverside Valley Community Garden,Riverside Park/138th Street,0.115,NA,NA,12759603.857142856,12786290.057142857,265000
109,M09,Manhattan,Morningside Heights and Hamilton Heights,111287,22,24,7,44,3,17,16,34,21,12,65,21,30,49,24,51,21,29,81.4,83,M,Serenity Gardens,522 West 146th Street,0.091,40.826254,-73.947965,12759603.857142856,12786290.057142857,265000
109,M09,Manhattan,Morningside Heights and Hamilton Heights,111287,22,24,7,44,3,17,16,34,21,12,65,21,30,49,24,51,21,29,81.4,83,M,Sugar Hill Park,339-341 Edgecombe Avenue.,0.069,40.826462,-73.941811,12759603.857142856,12786290.057142857,265000
109,M09,Manhattan,Morningside Heights and Hamilton Heights,111287,22,24,7,44,3,17,16,34,21,12,65,21,30,49,24,51,21,29,81.4,83,M,West 111th Street People's Garden,1036-53 Amsterdam Avenue,0.109,40.803674,-73.963366,12759603.857142856,12786290.057142857,265000
109,M09,Manhattan,Morningside Heights and Hamilton Heights,111287,22,24,7,44,3,17,16,34,21,12,65,21,30,49,24,51,21,29,81.4,83,M,William A. Harris Garden,NWC of 153rd St & St. Nicholas,NA,NA,NA,12759603.857142856,12786290.057142857,265000
110,M10,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,M,Bradhurst Avenue Tenants Association,Bradhurst Avenue,0.092,NA,NA,844122.5357142857,923161.4523809524,NA
110,M10,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,M,C.S. 154 - Our Children's Garden,250 W 127th Street,0.066,40.810928,-73.948938,844122.5357142857,923161.4523809524,NA
110,M10,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,M,C.S. 46 - Tappan School Garden of Heroes,2987 Frederick Douglass Boulevard,NA,NA,NA,844122.5357142857,923161.4523809524,NA
